station_code,longitude,latitude,station_name
GKP,83.381499,26.759311,GORAKHPUR JN
KLD,83.055073,26.77453,KHALILABAD
BST,82.770059,26.815678,BASTI
MUR,82.227648,27.039058,MANKAPUR JN
GD,81.978152,27.154613,GONDA JN
BBK,81.18104,26.935335,BARABANKI JN
LKO,80.925291,26.830675,LUCKNOW NR
BLM,80.352497,27.167363,BALAMU JN
HRI,80.147877,27.399414,HARDOI
SPN,79.904605,27.894224,SHAHJEHANPUR
BE,79.4108444,28.3371543,BAREILLY
RMU,79.023419,28.778863,RAMPUR
MB,78.765801,28.831621,MORADABAD
AMRO,78.474329,28.892688,AMROHA
KHE,78.180192128,28.8013612636,KANKATHER
GMS,78.073508,28.781743,GARHMUKTESAR
HPU,77.779576,28.739613,HAPUR
PKW,77.668008,28.712335,PILKHUA
DKZ,77.201256,28.664732,DELHI KISHANGNJ
SSB,77.1299115857,28.6802273287,SHAKURBASTI
NNO,77.056966,28.686261,NANGLOI
BGZ,76.930886,28.700863,BAHADURGARH
ROK,76.57955,28.890904,ROHTAK JN
JIND,76.289617,29.328876,JIND JN
NRW,76.109286,29.588632,NARWANA JN
TUN,75.904581,29.7266,TOHANA
JHL,75.8245009833,29.8018131127,JAKHAL JN
BRZ,75.6924026,29.8593339,BARETA
BLZ,75.5496866,29.9217422,BUDHLADA
MSZ,75.402584,29.989695,MANSA
MAUR,75.22772,30.062746,MAUR
BTI,74.932083,30.209488,BHATINDA JN
MBY,74.700155,29.966227,MANDI DABWALI
SGRA,74.466053,29.792508,SANGARIA
HMH,74.297633,29.614904,HANUMANGARH JN
PGK,74.079282,29.483825,PILI BANGAN
SOG,73.907248,29.324152,SURATGARH JN
MHJ,73.853666,28.793007,MAHAJAN
LKS,73.743155,28.493395,LUNKARANSAR
LGH,73.313909,28.043638,LALGARH JN
